n,a,b,ab,z proportion below,M proportion below,jackknife proportion below,percentile boot proportion below,bias-corrected boot proportion below,boot-t proportion below,boot-Q proportion below,Monte Carlo proportion below,z proportion above,M proportion above,jackknife proportion above,percentile boot proportion above,bias-corrected boot proportion above,boot-t proportion above,boot-Q proportion above,Monte Carlo proportion above
25,0,0,0,0.006,0.024,0.008,0.01,0.052,0.052,0.052,0.009,0.005,0.02,0.009,0.016,0.047,0.049,0.049,0.015
25,0,0.14,0,0.013,0.033,0.008,0.021,0.059,0.058,0.058,0.019,0.007,0.026,0.007,0.015,0.054,0.051,0.051,0.014
25,0,0.39,0,0.053,0.093,0.055,0.073,0.136,0.124,0.124,0.07,0.042,0.075,0.047,0.064,0.119,0.118,0.118,0.058
25,0,0.59,0,0.06,0.094,0.05,0.09,0.136,0.128,0.128,0.078,0.072,0.111,0.073,0.107,0.15,0.143,0.143,0.088
25,0.14,0.14,0.0196,0.017,0.03,0.02,0.023,0.051,0.06,0.06,0.025,0.06,0.156,0.048,0.055,0.198,0.28,0.28,0.035
25,0.39,0.39,0.1521,0.036,0.047,0.043,0.056,0.085,0.084,0.084,0.043,0.181,0.185,0.173,0.174,0.123,0.177,0.177,0.163
25,0.59,0.59,0.3481,0.056,0.068,0.052,0.064,0.092,0.1,0.1,0.062,0.162,0.157,0.172,0.169,0.116,0.125,0.125,0.146
25,0.14,0.39,0.0546,0.043,0.056,0.039,0.055,0.082,0.091,0.091,0.049,0.17,0.204,0.149,0.162,0.202,0.244,0.244,0.162
25,0.14,0.59,0.0826,0.053,0.068,0.048,0.063,0.101,0.102,0.102,0.062,0.143,0.169,0.123,0.153,0.169,0.188,0.188,0.14
25,0.39,0.59,0.2301,0.07,0.082,0.068,0.092,0.109,0.118,0.118,0.076,0.188,0.187,0.186,0.184,0.137,0.163,0.163,0.176
50,0,0,0,0.004,0.021,0.006,0.011,0.047,0.045,0.045,0.009,0.007,0.018,0.008,0.016,0.057,0.054,0.054,0.013
50,0,0.14,0,0.014,0.046,0.013,0.03,0.073,0.066,0.066,0.026,0.017,0.038,0.019,0.028,0.071,0.074,0.074,0.024
50,0,0.39,0,0.063,0.106,0.066,0.096,0.15,0.141,0.141,0.094,0.063,0.101,0.065,0.087,0.138,0.13,0.13,0.087
50,0,0.59,0,0.088,0.11,0.089,0.107,0.133,0.139,0.139,0.109,0.079,0.109,0.085,0.107,0.146,0.14,0.14,0.092
50,0.14,0.14,0.0196,0.024,0.038,0.024,0.033,0.067,0.074,0.074,0.031,0.156,0.224,0.144,0.115,0.178,0.274,0.274,0.083
50,0.39,0.39,0.1521,0.039,0.047,0.037,0.05,0.069,0.074,0.074,0.044,0.174,0.167,0.173,0.164,0.109,0.127,0.127,0.155
50,0.59,0.59,0.3481,0.072,0.077,0.072,0.083,0.1,0.103,0.103,0.075,0.145,0.136,0.15,0.143,0.115,0.115,0.115,0.134
50,0.14,0.39,0.0546,0.047,0.058,0.046,0.054,0.085,0.088,0.088,0.055,0.151,0.167,0.147,0.155,0.146,0.185,0.185,0.144
50,0.14,0.59,0.0826,0.083,0.093,0.081,0.097,0.126,0.131,0.131,0.088,0.143,0.155,0.137,0.15,0.149,0.163,0.163,0.141
50,0.39,0.59,0.2301,0.063,0.073,0.063,0.079,0.101,0.097,0.097,0.068,0.144,0.134,0.136,0.138,0.096,0.096,0.096,0.127
100,0,0,0,0.006,0.03,0.01,0.02,0.049,0.043,0.043,0.019,0.007,0.027,0.006,0.019,0.055,0.043,0.043,0.021
100,0,0.14,0,0.025,0.057,0.02,0.038,0.089,0.084,0.084,0.042,0.027,0.067,0.031,0.043,0.106,0.099,0.099,0.045
100,0,0.39,0,0.085,0.105,0.089,0.099,0.134,0.136,0.136,0.093,0.086,0.111,0.088,0.101,0.138,0.136,0.136,0.104
100,0,0.59,0,0.092,0.103,0.091,0.1,0.117,0.114,0.114,0.097,0.096,0.109,0.1,0.111,0.123,0.13,0.13,0.107
100,0.14,0.14,0.0196,0.033,0.053,0.04,0.054,0.08,0.085,0.085,0.046,0.203,0.224,0.204,0.18,0.152,0.243,0.243,0.176
100,0.39,0.39,0.1521,0.064,0.072,0.058,0.069,0.092,0.092,0.092,0.068,0.137,0.129,0.139,0.13,0.09,0.09,0.09,0.123
100,0.59,0.59,0.3481,0.082,0.088,0.077,0.09,0.103,0.103,0.103,0.081,0.126,0.123,0.121,0.121,0.099,0.099,0.099,0.118
100,0.14,0.39,0.0546,0.064,0.075,0.062,0.076,0.105,0.108,0.108,0.074,0.169,0.169,0.159,0.156,0.14,0.155,0.155,0.157
100,0.14,0.59,0.0826,0.064,0.074,0.067,0.075,0.098,0.104,0.104,0.072,0.132,0.132,0.13,0.138,0.13,0.138,0.138,0.133
100,0.39,0.59,0.2301,0.089,0.095,0.086,0.09,0.106,0.111,0.111,0.094,0.157,0.149,0.155,0.154,0.121,0.122,0.122,0.143
200,0,0,0,0.005,0.015,0.004,0.008,0.042,0.038,0.038,0.007,0.006,0.023,0.007,0.013,0.048,0.04,0.04,0.013
200,0,0.14,0,0.033,0.074,0.032,0.05,0.119,0.106,0.106,0.054,0.049,0.094,0.049,0.069,0.153,0.131,0.131,0.066
200,0,0.39,0,0.099,0.111,0.097,0.109,0.125,0.126,0.126,0.107,0.085,0.102,0.089,0.104,0.123,0.123,0.123,0.097
200,0,0.59,0,0.096,0.097,0.093,0.101,0.106,0.109,0.109,0.093,0.094,0.1,0.097,0.095,0.105,0.108,0.108,0.096
200,0.14,0.14,0.0196,0.043,0.056,0.044,0.051,0.073,0.078,0.078,0.046,0.187,0.188,0.189,0.159,0.089,0.163,0.163,0.164
200,0.39,0.39,0.1521,0.078,0.083,0.072,0.081,0.095,0.096,0.096,0.082,0.135,0.128,0.132,0.125,0.098,0.102,0.102,0.13
200,0.59,0.59,0.3481,0.092,0.095,0.087,0.094,0.104,0.106,0.106,0.095,0.129,0.12,0.123,0.126,0.11,0.105,0.105,0.12
200,0.14,0.39,0.0546,0.053,0.062,0.055,0.061,0.08,0.082,0.082,0.064,0.14,0.139,0.139,0.139,0.121,0.123,0.123,0.13
200,0.14,0.59,0.0826,0.08,0.086,0.082,0.092,0.1,0.105,0.105,0.083,0.105,0.105,0.109,0.108,0.101,0.108,0.108,0.106
