n,a,b,average sample a,average sample b,empirical standard error of sample a,empirical standard error of sample b,average sample std error of a,average sample std error of b,Time Run
50,0,0,-0.00032062,0.000685091,0.14772812,0.148422689,0.1440865,0.14607749,9.462543 hours
50,0.14,0,0.143314419,-0.000877177,0.146081647,0.146717955,0.14453105,0.145662076,
50,0.39,0,0.392349124,0.000818014,0.145631122,0.147477828,0.144680636,0.145585902,
50,0.59,0,0.590616971,0.000607035,0.143347163,0.147792912,0.144236858,0.145611919,
50,0,0.14,0.001320249,0.138890713,0.146433779,0.14722799,0.144390582,0.146058331,
50,0,0.39,-0.003780504,0.3908663,0.145984087,0.148692702,0.144455186,0.14625585,
50,0,0.59,0.000593937,0.58809345,0.144577284,0.147228351,0.144530822,0.145694953,
50,0.14,0.14,0.139657624,0.140949952,0.147148034,0.145127906,0.144260205,0.145993928,
50,0.14,0.39,0.141283155,0.388962646,0.145517517,0.148743498,0.144651832,0.145718398,
50,0.14,0.59,0.140192445,0.58997036,0.144410122,0.147895184,0.144389934,0.14578123,
50,0.39,0.14,0.38839019,0.13708213,0.146490633,0.144561968,0.144351488,0.146015735,
50,0.39,0.39,0.39107461,0.389357734,0.14531926,0.147423559,0.144423168,0.145613901,
50,0.39,0.59,0.390206192,0.58950741,0.145144114,0.145777728,0.144342799,0.145597055,
50,0.59,0.14,0.589449432,0.139927178,0.146125374,0.147125356,0.144086059,0.146443347,
50,0.59,0.39,0.590329034,0.391746578,0.144354987,0.145947743,0.14455084,0.145621343,
50,0.59,0.59,0.590977938,0.58970289,0.144457096,0.147735476,0.144292528,0.145839339,
100,0,0,-0.001914929,-0.000841967,0.101171132,0.100953549,0.101180256,0.101261792,
100,0.14,0,0.140266876,0.000669475,0.101257678,0.102352781,0.100836871,0.101464425,
100,0.39,0,0.388240196,-0.000223128,0.101716416,0.101487114,0.101092958,0.101361732,
100,0.59,0,0.590040068,-5.90E-05,0.102184375,0.101499683,0.101228807,0.101415402,
100,0,0.14,-0.001388701,0.140708498,0.103042707,0.10320775,0.100977485,0.101649554,
100,0,0.39,-0.001028583,0.389342202,0.101805707,0.102793706,0.101134854,0.101386845,
100,0,0.59,-5.65E-05,0.58967342,0.100369813,0.101832052,0.101107184,0.101521223,
100,0.14,0.14,0.137862376,0.140548676,0.102733481,0.100995965,0.101091594,0.101479059,
100,0.14,0.39,0.139526504,0.388073243,0.102242387,0.102769353,0.100845906,0.101585705,
100,0.14,0.59,0.139525964,0.589013894,0.101953111,0.103030191,0.101173387,0.101540043,
100,0.39,0.14,0.389501459,0.138328953,0.100281129,0.101959372,0.101090266,0.101530404,
100,0.39,0.39,0.390610277,0.389557485,0.102506034,0.101925832,0.101117868,0.101521226,
100,0.39,0.59,0.389922973,0.591712828,0.101767315,0.102902205,0.100952959,0.101638729,
100,0.59,0.14,0.590608325,0.138490867,0.10092831,0.10196344,0.100935889,0.101540113,
100,0.59,0.39,0.590384666,0.388193204,0.101147827,0.101683674,0.101037775,0.101424563,
100,0.59,0.59,0.590351783,0.588917269,0.101151204,0.102078433,0.101083344,0.101519007,
200,0,0,0.000893642,0.000347083,0.071192011,0.071156661,0.071074764,0.071220493,
200,0.14,0,0.140138954,-0.000870224,0.071203617,0.071211618,0.071047654,0.071259853,
200,0.39,0,0.390757227,-0.00058134,0.071552254,0.072020035,0.071025711,0.07131647,
200,0.59,0,0.589511707,-0.000568831,0.070977547,0.071778851,0.071076121,0.071248725,
200,0,0.14,-0.000491581,0.138857948,0.071101405,0.071570793,0.071106871,0.071312888,
200,0,0.39,0.000151023,0.391098087,0.071446925,0.071073944,0.070991108,0.071299583,
200,0,0.59,0.000965419,0.588752319,0.070790406,0.07165859,0.071136884,0.071190585,
200,0.14,0.14,0.141022539,0.139767539,0.07115706,0.072135567,0.071056669,0.071232294,
200,0.14,0.39,0.140036859,0.389150748,0.071072806,0.071637212,0.07108581,0.071237949,
200,0.14,0.59,0.140749045,0.588567062,0.071807123,0.07095824,0.071023306,0.071286796,
200,0.39,0.14,0.389826854,0.139608609,0.071741316,0.071134242,0.07108186,0.071286481,
200,0.39,0.39,0.389500329,0.38973227,0.072029215,0.07138408,0.071102331,0.071145907,
200,0.39,0.59,0.389431712,0.590450059,0.070305299,0.070854837,0.071134177,0.071210833,
200,0.59,0.14,0.588836613,0.139834611,0.071962321,0.071526837,0.071019601,0.071214867,
200,0.59,0.39,0.589752872,0.389661991,0.070644045,0.071142605,0.071135589,0.071268515,
200,0.59,0.59,0.591270302,0.589135145,0.07114212,0.071292464,0.071023064,0.07127459,
500,0,0,0.000341192,-0.000138259,0.045189146,0.044235215,0.044812714,0.044869172,
500,0.14,0,0.140155371,0.000639555,0.044968163,0.04518327,0.044800343,0.044872706,
500,0.39,0,0.390081189,0.000351964,0.044693462,0.044611386,0.044774757,0.044857277,
500,0.59,0,0.589771061,0.000285506,0.044706023,0.04508793,0.044793228,0.044870303,
500,0,0.14,0.000314905,0.139878123,0.044634928,0.044458627,0.044819104,0.044895371,
500,0,0.39,0.000118194,0.390082229,0.04528299,0.044775576,0.044817821,0.044828937,
500,0,0.59,0.000303482,0.590307994,0.045064968,0.044423009,0.044806769,0.044831784,
500,0.14,0.14,0.139411981,0.140209949,0.045212296,0.045018513,0.044830432,0.044835358,
500,0.14,0.39,0.140122567,0.389980866,0.044845064,0.045196745,0.044811219,0.044870708,
500,0.14,0.59,0.140460649,0.590651659,0.044591787,0.044883388,0.044825758,0.044850788,
500,0.39,0.14,0.390751728,0.139424817,0.044814854,0.044552257,0.044808504,0.044829216,
500,0.39,0.39,0.389940424,0.390005187,0.044238721,0.044971367,0.044809318,0.04486534,
500,0.39,0.59,0.390317568,0.589432119,0.044773144,0.045223462,0.04479618,0.044867506,
