n,a,b,average sample a,average sample b,empirical standard error of sample a,empirical standard error of sample b,average sample std error of a,average sample std error of b
25,0,0,0.00168528281388832,0.00251327314586151,0.212464143508802,0.214405019016789,0.210472410143797,0.211817612032683
25,0,0.14,0.00132650022784443,0.140048844953096,0.202261064884828,0.207712610867258,0.208052466765245,0.213133049072665
25,0,0.39,0.00616018095325756,0.395574792610705,0.211705581572991,0.223541190404416,0.206755775168351,0.214108973344163
25,0,0.59,-0.00299834412598182,0.590971478157259,0.212616062613225,0.21871415243791,0.209297615653797,0.211656063840908
25,0.14,0.14,0.133728069665483,0.144743050475477,0.212705530448693,0.215968752665628,0.208095223592474,0.213123955956766
25,0.39,0.39,0.390725108185057,0.372825040890151,0.213015178605457,0.209027133273314,0.210687026581378,0.211467409079528
25,0.59,0.59,0.587030456433242,0.581074606458171,0.214178777915265,0.21895461262162,0.209430779474564,0.21520914240499
25,0.14,0.39,0.136115206508183,0.388962347762805,0.211731021803163,0.21556537832989,0.210527233857927,0.209938319046101
25,0.14,0.59,0.14794131845249,0.589296469217923,0.214868825185183,0.211180781825157,0.210224610933229,0.210905481403741
25,0.39,0.59,0.38872429193914,0.594726772005831,0.219667726417281,0.229800952830203,0.208850632093416,0.211547275511474
50,0,0,0.00072322645345322,0.00143615335057427,0.144659084704707,0.139022661789443,0.144931395502194,0.14504192016502
50,0,0.14,-0.00322744874712575,0.139831768373172,0.145746539831543,0.151030224249991,0.144550057861785,0.146133850942765
50,0,0.39,-0.001755589431384,0.391221329956734,0.147401481825285,0.143990114853945,0.14493983958786,0.145237980197115
50,0,0.59,-0.00155344842995346,0.584219500350605,0.14751115109111,0.151310735746737,0.143300530036699,0.145949007023878
50,0.14,0.14,0.147796956173281,0.138008872866246,0.142047177954141,0.144083785366744,0.144691975810623,0.144691231425008
50,0.39,0.39,0.386344595315471,0.381186847521269,0.143573480795218,0.146830198645454,0.144162924898442,0.145388681896923
50,0.59,0.59,0.590814978952401,0.589621504154067,0.149492837938375,0.148800828532054,0.144247018205401,0.146587058094833
50,0.14,0.39,0.135956853587288,0.388917147797255,0.145347941645625,0.148899110466534,0.144630055485694,0.145677108131755
50,0.14,0.59,0.141580407760081,0.582449947322174,0.154048986618038,0.145059269023442,0.146013074084265,0.143918256506894
50,0.39,0.59,0.390387060661045,0.585682360751061,0.142683269835766,0.143638308595422,0.144792362926416,0.145289981211407
100,0,0,0.00387724133327509,0.000926417010061662,0.105899186998127,0.105831775101809,0.100522951095753,0.101572776889212
100,0,0.14,-0.00385837900422911,0.145403330747667,0.100846829498731,0.103648270985197,0.100776053621085,0.101464968321595
100,0,0.39,0.000607681595726355,0.388625977890148,0.101178630225551,0.102905233977547,0.100935583658416,0.10173838054043
100,0,0.59,0.000389517856487401,0.58553276149972,0.101942371798121,0.103165623225316,0.100849971345423,0.101428773708218
100,0.14,0.14,0.141168974129884,0.134165141609737,0.103090661009542,0.10244329573125,0.101275917204055,0.101686625041813
100,0.39,0.39,0.394596584177426,0.389521218052251,0.099885983803386,0.102352297758017,0.100823407920282,0.101865479277744
100,0.59,0.59,0.5893338506888,0.591122501155165,0.103696765327184,0.0989561353495428,0.10110363894207,0.101498566106056
100,0.14,0.39,0.139241468987605,0.389314427286339,0.104196576014151,0.104854120871348,0.100906057954937,0.101502090162737
100,0.14,0.59,0.136796624243877,0.590144442669081,0.100498665423344,0.103995023513707,0.101697729170795,0.10126023919283
100,0.39,0.59,0.387460745051587,0.588648215048355,0.100956151015809,0.103576747349989,0.101094783427521,0.101466335718458
200,0,0,0.000493102865020775,0.000224032161636571,0.0708952584511903,0.0712200966846819,0.070692632298319,0.0715799221240793
200,0,0.14,-0.00394383897490031,0.139656571826421,0.0727383586587191,0.0733188425119747,0.0712264133862484,0.0712097082876027
200,0,0.39,0.00197493013529972,0.389785157368852,0.0720749645186481,0.0727525642221679,0.0710799650271568,0.071071646379363
200,0,0.59,0.000955760829483532,0.592933257832062,0.0713560161602078,0.0745001248225198,0.0708165269650907,0.0712308730366962
200,0.14,0.14,0.138854861526305,0.136555031740815,0.0694037812795876,0.0694873700949235,0.0710176465538505,0.0711615436727852
200,0.39,0.39,0.392694046135911,0.389859828964946,0.0740468551724695,0.0681450348338377,0.0711389424647563,0.0710136402377543
200,0.59,0.59,0.589203511961422,0.59213300028053,0.0715817046925219,0.0727701736817106,0.0710775550048112,0.0712540570309794
200,0.14,0.39,0.136057311619723,0.390004375955289,0.0687363560796145,0.0720716556936726,0.070644952238577,0.0713446317062201
200,0.14,0.59,0.140617975746836,0.590951620446463,0.0692312969747784,0.0705989697838058,0.0709528124306757,0.0711169292354082
200,0.39,0.59,0.390491215771783,0.590921494314747,0.0710793627983255,0.0689983464747951,0.0708215181449073,0.0714694746437771
