,,Sample Size,,,,,,,,,
,,25,,50,,100,,200,,,52 vs 61 (in OG)
Indirect Effect,Method,left,right,left,right,left,right,left,right,,Total:
Null Models,z,0.0018*,0.0023*,0.0033*,0.0050*,0.0078*,0.0083*,0.0133,0.0108*,7 asterisks,15
,M,0.013,0.0128,0.0125,0.0158,0.016,0.0155,0.0193,0.0158,0 asterisks,3
,Jackknife,0.0048*,0.0045*,0.0043*,0.0035*,0.0085*,0.0085*,0.0120*,0.0108*,8 asterisks,16
,Bootstrap percentile,0.0113*,0.0088*,0.0125,0.0148,0.014,0.0143,0.0178,0.0163,2 asterisks,3
,Bootstrap Bias-corrected,0.0195,0.0175,0.0243,0.0268,0.0235,0.0255,0.0245,0.023,0 asterisks,3
,Bootstrap-t,0.019,0.0198,0.022,0.024,0.0233,0.0255,0.0263,0.0228,0 asterisks,4
,Bootstrap-Q,0.019,0.0198,0.022,0.024,0.0233,0.0255,0.0263,0.0228,0 asterisks,4
,Monte Carlo,0.0095*,0.0090*,0.0095*,0.0128,0.0135,0.0145,0.019,0.0138,3 asterisks,4
Non-zero Models,z,0.0058*,0.0595*,0.0077*,0.0552*,0.0103*,0.0553*,0.0103*,0.0483*,8 asterisks,
,M,0.0142,0.0575*,0.0152,0.0482*,0.0173,0.0487*,0.0173,0.0363,3 asterisks,
,Jackknife,0.0093*,0.0605*,0.0093*,0.0550*,0.0117*,0.0577*,0.0108*,0.0487*,8 asterisks,
,Bootstrap percentile,0.0142,0.0375,0.0158,0.0397*,0.0187,0.0362,0.0173,0.0338,1 asterisk,
,Bootstrap Bias-corrected,0.0228,0.0468*,0.0235,0.0428*,0.0243,0.0378*,0.0228,0.0277,3 asterisks,
,Bootstrap-t,0.025,0.1012*,0.022,0.0818*,0.0242,0.0667*,0.0233,0.0435*,4 asterisks,
,Bootstrap-Q,0.025,0.1012*,0.022,0.0818*,0.0242,0.0667*,0.0233,0.0435*,4 asterisks,
,Monte Carlo,0.0117*,0.0308,0.0128,0.0333,0.0167,0.0313,0.0167,0.0312,1 asterisk,
Note: Cells indicated in this row were recorded before top two rows of table were added,,"C3,C7,C8,C11,C15","C7,C8,C13,C15",C3,"C7, C8, C9, C15",C12,"C13,C15","C2,C10,C12","C9,C11,C13,C15,C16",Note: I did not include Empirical-M counts from OG,
