,80%,,,90%,,,95%,,,Overall,,,,
Method,Left,Right,Total,Left,Right,Total,Left,Right,Total,Left,Right,Total,THIS-OG,
z,16,20,36,25,26,51,31,32,63,72,78,150,6,
M,10,19,29,11,19,30,15,25,40,36,63,99,-15,
Jackknife,17,18,35,25,27,52,28,33,61,70,78,148,10,
Bootstrap percentile,9,18,27,15,20,35,16,24,40,40,62,102,5,
Bootstrap Bias-corrected,3,8,11,9,16,25,12,19,31,24,43,67,-6,
Bootstrap-t,3,14,17,8,22,30,15,26,41,26,62,88,0,
Bootstrap-Q,3,14,17,8,22,30,15,26,41,26,62,88,-7,
Monte Carlo,14,15,29,15,17,32,18,19,37,47,51,98,6,
Total,75,126,201,116,169,285,150,204,354,341,499,840,1,
Biggest difference in each column,Boot-t and Boot-Q: -5,M: -3,Jackknife and Monte Carlo: 5,M and Boot-t and Boot-Q: -4,M: -10,M: -14,percentile: 5 ,bias-corrected: -7,bias-corrected: -9,Boot-t: -10,M: -12,M: -15,,Note: I did not include Empirical-M counts from OG
,,,,,,,,,,,,,,
,,,,,,,,,,,,Note: Boot-t evens out but lower is 10 lower and upper is 10 upper...,,
