,,Sample Size,,,,,,,
Indirect Effect,Method,25,50,100,200,,,,
Null Models,z,0.004*,0.008*,0.016*,0.024*,,,,
,M,0.026,0.028,0.032,0.035,,,,
,Jackknife,0.009*,0.008*,0.017*,0.023*,,,,
,Bootstrap percentile,0.020*,0.027,0.028,0.034,,,,
,Bootstrap Bias-corrected,0.037,0.051,0.049,0.048,,,,
,Bootstrap-t,0.039,0.046,0.049,0.049,,,,
,Bootstrap-Q,0.039,0.046,0.049,0.049,,,,
,Monte Carlo,0.019*,0.022*,0.028,0.033,,,,
Non-zero Models,z,0.124,0.335,0.540,0.663,,,,
,M,0.226,0.441,0.595,0.710,,,,
,Jackknife,0.121,0.320,0.536,0.661,,,,
,Bootstrap percentile,0.194,0.413,0.584,0.701,,,,
,Bootstrap Bias-corrected,0.259,0.470,0.618,0.728,,,,
,Bootstrap-t,0.257,0.469,0.622,0.733,,,,
,Bootstrap-Q,0.257,0.469,0.622,0.733,,,,
,Monte Carlo,0.204,0.419,0.584,0.700,,,,
Note: Cells indicated in this row were recorded before top two rows of table were added,,"C3,C7,C8","D7,D8",,,Note: I did not include Empirical-M counts from OG,,,
,,C16: .057 difference,D16: .048 difference,E16: .034 difference,F16: .026 difference,"Note: For power, I subtracted OG level from my level and marked cell red if difference was greater than .025 (Bradley's liberal robustness criterion)",,,
